SampleID	Donor	Species	Bubble	Animal	Date	Gender	Timingofinocu	Diet	SampleType	Actual_inoculum	Color_Sp	Time_point	Description
273	ELD2	piglet	6of7	6C	4-Apr-18	male	NA	solid	fecal	NA	blue	5weeks_pig	5weeks_post_inoc
517	ELD2	piglet	6of7	6A	11-Apr-18	female	NA	solid	fecal	NA	blue	euthan_pig	at_euthanization
518	ELD2	piglet	6of7	6B	11-Apr-18	male	NA	solid	fecal	NA	blue	euthan_pig	at_euthanization
519	ELD2	piglet	6of7	6C	11-Apr-18	male	NA	solid	fecal	NA	blue	euthan_pig	at_euthanization
R2D272	ELD2	human	NA	NA	NA	NA	NA	solid	fecal	yes	red	donor	elderly2_inoculum-1_mouse
359	ELD2	human	NA	NA	2-Mar-18	male	NA	solid	fecal	yes	red	donor	elderly2_inoculum-1_pig
R2D276	ELD2	human	NA	NA	NA	NA	NA	solid	fecal	yes	red	donor	elderly2_inoculum-2_mouse
324	ELD2	human	NA	NA	15-Mar-18	female	NA	solid	fecal	yes	red	donor	elderly2_inoculum-2_pig
431	ELD2	mouse	29	G31	25-Sep-17	male	NA	solid	fecal	NA	green	final_col_mouse	Final_collection
432	ELD2	mouse	29	G32	25-Sep-17	male	NA	solid	fecal	NA	green	final_col_mouse	Final_collection
439	ELD2	mouse	29	G33	25-Sep-17	male	NA	solid	fecal	NA	green	final_col_mouse	Final_collection
440	ELD2	mouse	29	G34	25-Sep-17	male	NA	solid	fecal	NA	green	final_col_mouse	Final_collection
441	ELD2	mouse	29	G35	25-Sep-17	male	NA	solid	fecal	NA	green	final_col_mouse	Final_collection
442	ELD2	mouse	29	G36	25-Sep-17	female	NA	solid	fecal	NA	green	final_col_mouse	Final_collection
443	ELD2	mouse	29	G37	25-Sep-17	female	NA	solid	fecal	NA	green	final_col_mouse	Final_collection
444	ELD2	mouse	29	G38	25-Sep-17	female	NA	solid	fecal	NA	green	final_col_mouse	Final_collection
451	ELD2	mouse	29	G39	25-Sep-17	female	NA	solid	fecal	NA	green	final_col_mouse	Final_collection
452	ELD2	mouse	29	G40	25-Sep-17	female	NA	solid	fecal	NA	green	final_col_mouse	Final_collection
325	ELD2	piglet	6of7	6A	9-Apr-18	female	NA	solid	fecal	NA	blue	final_col_pig	Final_collection
326	ELD2	piglet	6of7	6B	9-Apr-18	male	NA	solid	fecal	NA	blue	final_col_pig	Final_collection
327	ELD2	piglet	6of7	6C	9-Apr-18	male	NA	solid	fecal	NA	blue	final_col_pig	Final_collection
